"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"YJL084C",1.50421321497017,3.12742709030254,64.9206351378523,1.2195578439612e-06,3.46453983427344e-05,"ALY2"
"YPL271W",-1.7334826111696,6.31976863675717,64.7450195086441,1.2381348491052e-06,3.49945930955215e-05,"ATP15"
"YCR107W",-2.65269974589402,3.37409818343272,64.6209882008593,1.29097632053836e-06,3.63038189533212e-05,"AAD3"
"YHR078W",1.51078048643801,2.47825508782407,64.1270859464259,1.31214204206211e-06,3.67136024633257e-05,NA
"YDR524C-B",-1.41693844810235,6.48799046189301,63.6169626938212,1.37213913357916e-06,3.81881341903148e-05,NA
"YER131W",-1.81174804160047,3.90814175140884,63.5699630106942,1.37855872346503e-06,3.81881341903148e-05,"RPS26B"
"YHR219W",1.85685508150086,2.75518702643445,63.3633999974671,1.4063535576654e-06,3.87652307380244e-05,NA
"YNL052W",-1.45607509312948,6.0397428917685,63.1781563431111,1.42869428894135e-06,3.90908729993019e-05,"COX5A"
"YMR170C",2.05893151619111,3.1590375018716,63.133104926416,1.43603304974487e-06,3.90908729993019e-05,"ALD2"
"YGL116W",-1.84735402828919,1.71457326250197,63.1471246982185,1.43922933995275e-06,3.90908729993019e-05,"CDC20"
"YNL074C",1.53177092327286,3.42453082572301,62.7841604685977,1.48255104263948e-06,3.991734177113e-05,"MLF3"
"YDR070C",2.72988687328845,5.77211299146206,62.7714190022802,1.48399600334481e-06,3.991734177113e-05,"FMP16"
"YGL251C",2.06405842279575,1.36143398935688,62.9957837513741,1.49388640772851e-06,3.99901899915017e-05,"HFM1"
"YBR158W",-2.25382729880811,1.28022762256332,62.717090149568,1.51898237470314e-06,4.03583744735488e-05,"AMN1"
"YGR043C",1.63747958193115,4.22411854254285,62.4944294209517,1.5231153704963e-06,4.03583744735488e-05,"NQM1"
"YJR039W",1.66127310873798,2.44200160013426,62.4639941173651,1.52938523956875e-06,4.03583744735488e-05,NA
"YDR380W",-2.3422720141331,1.39011274556962,62.5108745697696,1.53737416834823e-06,4.03778272139763e-05,"ARO10"
"YOL055C",1.74384533955395,2.49211299067742,62.0764731386059,1.5855607573363e-06,4.14290367225098e-05,"THI20"
"YDR322C-A",-1.39600150864925,4.61123810235383,61.9738075285055,1.59825493035309e-06,4.14290367225098e-05,"TIM11"
"YJR009C",1.57842870224014,7.85199545577741,61.9629464888325,1.59972034758254e-06,4.14290367225098e-05,"TDH2"
"YNCL0046W",-2.41497785842893,3.35274901898985,61.8928531534346,1.61153824612663e-06,4.15418747890421e-05,NA
"YKR031C",1.64755462407636,3.93693291280395,61.4793197674783,1.67476552023653e-06,4.29727853303088e-05,"SPO14"
"YHR193C",-1.41391629844866,4.01899282700258,61.3640851830998,1.69301612993944e-06,4.32418064747835e-05,"EGD2"
"YPL230W",1.8002292773941,2.82677358798249,60.8148125315695,1.78624468812493e-06,4.54146594679434e-05,"USV1"
