"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"YMR175W",-3.55875972854255,6.52770334783058,58.3642462282416,2.2610083272883e-06,6.29464718317063e-05,"SIP18"
"YDR479C",-1.47295719397774,2.60192846238389,58.1915574888036,2.30231659840397e-06,6.37776060692203e-05,"PEX29"
"YGL036W",-1.66606388018323,3.10377946166218,58.0866354096201,2.32542589316177e-06,6.38241323274304e-05,NA
"YIL075C",-1.53316273228659,5.47128254331148,58.0734109393295,2.32692149110423e-06,6.38241323274304e-05,"RPN2"
"YEL039C",-2.90032285385359,6.16061436587721,57.906167869101,2.36575179372805e-06,6.45711077817537e-05,"CYC7"
"YLR079W",-2.16311519088162,2.27496606328852,57.6805966392813,2.42608061628844e-06,6.58947164463124e-05,"SIC1"
"YHR007C",1.99128529168696,5.13681697003077,57.5112425548825,2.46096687027561e-06,6.63875601950957e-05,"ERG11"
"YKL212W",1.61198953999343,2.91380810137197,57.4848900693362,2.46982261996145e-06,6.63875601950957e-05,"SAC1"
"YPL273W",1.79565256778148,2.14039362415933,57.4582744338449,2.48068456735063e-06,6.63875601950957e-05,"SAM4"
"YNR069C",1.74230054845158,2.3117491001238,57.4058149121165,2.49191811795528e-06,6.63875601950957e-05,"BSC5"
"Q0105",2.13512677124202,7.79430698920777,57.2369279925962,2.52884113630229e-06,6.68108801121123e-05,"COB"
"YGR186W",-1.52422971717211,4.69769208314903,57.1847819450102,2.54231778960134e-06,6.68108801121123e-05,"TFG1"
"YPR191W",-1.47154370903583,6.45654228528619,57.1780563192273,2.54380506173991e-06,6.68108801121123e-05,"QCR2"
"YIR043C",1.52928686849359,3.86918197331075,57.091633285721,2.56690524415976e-06,6.69926525015313e-05,NA
"YBR112C",-1.86995343405474,3.12982774888075,57.0647697796075,2.57478944599995e-06,6.69926525015313e-05,"CYC8"
"YER169W",-1.32751810829082,3.50554758729882,56.9508091381183,2.60390184540098e-06,6.74350022101984e-05,"RPH1"
"YPL223C",-1.95795628058259,3.31741336727122,56.320216826876,2.77656099649309e-06,7.15735723540442e-05,"GRE1"
"YDR430C",-1.42086229998361,2.58108273836346,56.1918314722848,2.81326848028574e-06,7.21856170425392e-05,"CYM1"
"YDR254W",-1.46662931098326,2.58947483242967,56.0507985845563,2.85378889904188e-06,7.27998758542e-05,"CHL4"
"YDL237W",1.81104838725873,2.78600610964439,55.9904561212733,2.87229485405847e-06,7.27998758542e-05,"AIM6"
"YNR074C",-4.31815961582345,0.319321048906848,50.9617891257232,2.87643187642313e-06,7.27998758542e-05,"AIF1"
"YOL165C",2.50056720800923,0.924498522584064,56.3850198355681,2.9071100805409e-06,7.32230458192173e-05,"AAD15"
"YIL036W",-1.62926802951729,2.52690390446098,55.8290020767851,2.91945333546448e-06,7.32230458192173e-05,"CST6"
"YJL102W",-1.2520680194625,3.63225144734895,55.6710538567566,2.96450257103828e-06,7.40195081414402e-05,"MEF2"
"YNL256W",1.59317297898725,1.8748142860602,55.6467242226168,2.98459311102398e-06,7.41884573311674e-05,"FOL1"
"YNCC0012C",4.18425075924279,4.45454805379462,55.3270509274381,3.08594401462372e-06,7.63668278818883e-05,NA
"YNL115C",-1.31748124128362,3.8972824644859,54.924572203414,3.20105135781177e-06,7.8864840532283e-05,NA
"YML100W",-1.64677928210931,4.85280670852606,54.8800933326052,3.21521622937368e-06,7.88648632826108e-05,"TSL1"
"YMR088C",2.21098459819443,4.52082265640318,54.7839439290929,3.25003276064935e-06,7.90232100695331e-05,"VBA1"
"YFL014W",-2.81186659831249,7.26833208716117,54.7753392732434,3.2500565922994e-06,7.90232100695331e-05,"HSP12"
"YNCD0034C",-1.91337975144981,3.01683465637006,54.7209436838799,3.27469013637348e-06,7.92759768666414e-05,NA
"YDR519W",1.71086519359196,1.64847547683302,54.5664515200168,3.33972959865845e-06,8.050049526117e-05,"FPR2"
